Data,Hora,Press Atm,Temp1,Temp2,Temp Int,Umidade Ar,Umidade Ar Int,Rad Solar W/m2,Rad Total Solar W/m2,Rad Total Solar KJ/m2,Velocidade Vento,Direção Vento,Precipitação,Tensão Sistema
02_08_2022,10:40:35,1013.9,27.5,26.8,29.7,78.0,66.0,544.0,7739.0,6464.0,0.7,207.0,0.0,13.7
02_08_2022,10:40:38,1013.9,27.5,26.8,29.7,78.0,66.0,544.0,7739.0,6464.0,0.6,199.0,0.0,13.7
02_08_2022,10:40:43,1013.9,27.5,26.8,29.7,78.0,66.0,551.0,8290.0,6497.0,0.8,199.0,0.0,13.7
02_08_2022,10:40:51,1013.9,27.5,26.8,29.7,78.0,66.0,559.0,8849.0,6531.0,0.7,257.0,0.0,13.7
02_08_2022,10:41:07,1013.9,27.5,26.8,29.7,77.0,66.0,570.0,9419.0,6565.0,0.9,252.0,0.0,13.9
02_08_2022,10:41:37,1013.9,27.4,26.8,29.8,78.0,66.0,612.0,11223.0,6673.0,0.9,309.0,0.0,13.9
02_08_2022,10:42:07,1013.9,27.3,26.8,29.8,79.0,66.0,619.0,13079.0,6785.0,0.0,31.0,0.0,13.8
02_08_2022,10:42:38,1013.9,27.2,26.8,29.8,79.0,66.0,599.0,14893.0,6894.0,0.0,31.0,0.0,13.8
02_08_2022,10:43:08,1013.9,27.2,26.8,29.8,80.0,66.0,596.0,16685.0,7001.0,0.0,98.0,0.0,13.8
02_08_2022,10:43:38,1013.9,27.2,26.8,29.9,80.0,66.0,603.0,18486.0,7109.0,0.7,197.0,0.0,13.8
02_08_2022,10:44:08,1013.9,27.2,26.8,29.9,80.0,66.0,613.0,20308.0,7219.0,0.4,141.0,0.0,13.9
02_08_2022,10:44:38,1013.9,27.3,26.8,29.9,80.0,66.0,615.0,22154.0,7329.0,1.4,150.0,0.0,13.9
02_08_2022,10:45:08,1013.9,27.3,26.8,30.0,79.0,66.0,607.0,23989.0,7439.0,1.3,126.0,0.0,13.8
02_08_2022,10:45:38,1013.9,27.3,26.8,30.0,77.0,66.0,590.0,25774.0,7546.0,0.9,60.0,0.0,13.8
02_08_2022,10:46:08,1013.9,27.3,26.8,30.0,76.0,66.0,582.0,27527.0,7652.0,0.0,69.0,0.0,13.8
02_08_2022,10:46:38,1013.9,27.2,26.8,30.0,76.0,66.0,584.0,29275.0,7757.0,0.4,127.0,0.0,13.8
02_08_2022,10:47:08,1013.9,27.2,26.8,30.1,76.0,65.0,592.0,31042.0,7863.0,0.0,140.0,0.0,13.9
02_08_2022,10:47:38,1013.9,27.2,26.8,30.1,76.0,65.0,601.0,32838.0,7970.0,0.0,220.0,0.0,13.9
02_08_2022,10:48:08,1013.9,27.2,26.8,30.1,75.0,65.0,600.0,34641.0,8078.0,0.4,218.0,0.0,13.9
02_08_2022,10:48:38,1013.9,27.2,26.8,30.1,76.0,65.0,596.0,36431.0,8186.0,0.7,177.0,0.0,13.9
02_08_2022,10:49:08,1013.9,27.2,26.8,30.1,76.0,65.0,587.0,38202.0,8292.0,1.2,159.0,0.0,13.8
02_08_2022,10:49:38,1013.9,27.2,26.8,30.2,76.0,65.0,573.0,39933.0,8396.0,1.5,146.0,0.0,13.8
02_08_2022,10:50:08,1013.9,27.2,26.8,30.2,76.0,65.0,569.0,41645.0,8499.0,1.1,130.0,0.0,13.8
02_08_2022,12:37:25,1012.7,28.9,27.7,31.9,70.0,66.0,700.0,57474.0,9448.0,0.6,306.0,0.0,13.9
